,Class
0,10
1,6
2,9
3,9
4,5
5,3
6,10
7,5
8,3
9,0
10,1
11,9
12,10
13,2
14,4
15,5
16,7
17,9
18,5
19,9
20,3
21,9
22,9
23,3
24,9
25,0
26,9
27,0
28,5
29,6
30,9
31,3
32,10
33,9
34,10
35,0
36,9
37,6
38,6
39,9
40,7
41,4
42,7
43,10
44,5
45,5
46,6
47,5
48,6
49,4
50,9
51,6
52,5
53,10
54,10
55,6
56,10
57,1
58,8
59,5
60,0
61,5
62,0
63,10
64,7
65,0
66,9
67,6
68,9
69,10
70,9
71,6
72,9
73,0
74,9
75,2
76,9
77,5
78,0
79,10
80,5
81,9
82,5
83,5
84,3
85,6
86,6
87,10
88,10
89,3
90,10
91,10
92,9
93,10
94,3
95,9
96,4
97,10
98,9
99,5
100,6
101,6
102,0
103,9
104,9
105,5
106,9
107,10
108,9
109,3
110,5
111,7
112,6
113,5
114,3
115,9
116,9
117,9
118,6
119,5
120,0
121,6
122,10
123,10
124,3
125,5
126,3
127,9
128,10
129,9
130,4
131,9
132,2
133,3
134,9
135,1
136,6
137,9
138,6
139,9
140,9
141,10
142,9
143,5
144,6
145,9
146,9
147,5
148,6
149,0
150,5
151,6
152,6
153,10
154,2
155,9
156,3
157,5
158,9
159,9
160,9
161,5
162,0
163,10
164,6
165,6
166,8
167,9
168,6
169,9
170,10
171,3
172,9
173,9
174,8
175,5
176,10
177,9
178,10
179,1
180,4
181,5
182,4
183,1
184,4
185,6
186,9
187,5
188,9
189,9
190,6
191,3
192,8
193,9
194,10
195,9
196,3
197,9
198,5
199,8
200,9
201,6
202,8
203,5
204,9
205,8
206,9
207,6
208,3
209,6
210,1
211,8
212,10
213,1
214,6
215,3
216,10
217,5
218,0
219,0
220,9
221,9
222,3
223,5
224,8
225,6
226,5
227,5
228,5
229,10
230,5
231,3
232,3
233,9
234,4
235,3
236,9
237,10
238,5
239,5
240,6
241,1
242,9
243,10
244,9
245,5
246,5
247,9
248,5
249,5
250,3
251,9
252,4
253,0
254,9
255,9
256,9
257,10
258,3
259,6
260,0
261,9
262,9
263,9
264,9
265,3
266,3
267,3
268,6
269,5
270,6
271,10
272,0
273,8
274,9
275,9
276,8
277,6
278,6
279,4
280,9
281,10
282,9
283,4
284,10
285,1
286,8
287,5
288,9
289,5
290,1
291,9
292,3
293,5
294,2
295,6
296,9
297,1
298,4
299,10
300,9
301,9
302,9
303,1
304,7
305,9
306,9
307,0
308,10
309,10
310,9
311,10
312,3
313,5
314,5
315,4
316,9
317,9
318,8
319,10
320,6
321,9
322,0
323,6
324,2
325,9
326,2
327,4
328,10
329,9
330,6
331,8
332,9
333,10
334,10
335,6
336,10
337,10
338,10
339,6
340,9
341,6
342,10
343,3
344,2
345,6
346,2
347,10
348,9
349,8
350,10
351,8
352,5
353,5
354,10
355,10
356,8
357,5
358,3
359,10
360,3
361,9
362,5
363,6
364,2
365,0
366,2
367,8
368,4
369,5
370,3
371,10
372,6
373,10
374,9
375,10
376,3
377,10
378,9
379,5
380,10
381,5
382,0
383,10
384,10
385,10
386,6
387,0
388,7
389,6
390,7
391,9
392,6
393,10
394,6
395,0
396,3
397,4
398,2
399,3
400,10
401,5
402,5
403,3
404,7
405,0
406,5
407,10
408,1
409,10
410,4
411,1
412,5
413,4
414,3
415,10
416,9
417,5
418,5
419,6
420,0
421,0
422,0
423,0
424,0
