,Class
0,2
1,9
2,9
3,6
4,0
5,5
6,5
7,3
8,9
9,10
10,5
11,10
12,3
13,5
14,10
15,0
16,0
17,6
18,9
19,4
20,1
21,9
22,8
23,8
24,9
25,3
26,10
27,5
28,9
29,4
30,9
31,9
32,9
33,9
34,6
35,0
36,7
37,6
38,9
39,5
40,6
41,5
42,9
43,10
44,6
45,9
46,5
47,4
48,10
49,5
50,7
51,6
52,9
53,9
54,10
55,10
56,9
57,6
58,0
59,10
60,10
61,10
62,3
63,10
64,6
65,0
66,7
67,3
68,9
69,6
70,5
71,9
72,9
73,10
74,1
75,0
76,10
77,9
78,8
79,10
80,9
81,6
82,2
83,10
84,5
85,9
86,10
87,9
88,2
89,8
90,5
91,0
92,6
93,3
94,5
95,9
96,9
97,3
98,5
99,6
100,5
101,2
102,9
103,5
104,5
105,1
106,6
107,4
108,8
109,5
110,8
111,5
112,6
113,10
114,9
115,0
116,5
117,5
118,10
119,1
120,9
121,0
122,8
123,2
124,9
125,4
126,1
127,5
128,10
129,4
130,9
131,5
132,9
133,9
134,9
135,7
136,4
137,5
138,6
139,10
140,6
141,5
142,10
143,5
144,3
145,5
146,5
147,5
148,8
149,10
150,5
151,8
152,10
153,5
154,10
155,0
156,6
157,5
158,9
159,9
160,6
161,0
162,10
163,4
164,10
165,3
166,3
167,9
168,10
169,6
170,5
171,9
172,6
173,3
174,10
175,9
176,2
177,9
178,4
179,6
180,9
181,3
182,9
183,1
184,6
185,8
186,10
187,5
188,9
189,0
190,9
191,9
192,5
193,5
194,6
195,10
196,10
197,9
198,10
199,9
200,5
201,9
202,3
203,6
204,5
205,9
206,6
207,10
208,3
209,10
210,0
211,9
212,0
213,6
214,10
215,5
216,1
217,10
218,7
219,6
220,5
221,4
222,6
223,10
224,6
225,6
226,5
227,6
228,5
229,9
230,5
231,4
232,3
233,9
234,3
235,4
236,5
237,6
238,3
239,6
240,3
241,1
242,9
243,6
244,8
245,9
246,9
247,4
248,8
249,10
250,9
251,9
252,10
253,4
254,5
255,9
256,3
257,10
258,0
259,9
260,6
261,9
262,9
263,5
264,6
265,9
266,10
267,9
268,9
269,9
270,7
271,2
272,9
273,10
274,3
275,6
276,9
277,0
278,6
279,10
280,9
281,9
282,1
283,10
284,3
285,8
286,9
287,6
288,6
289,9
290,7
291,6
292,5
293,9
294,5
295,8
296,1
297,4
298,3
299,9
300,2
301,0
302,10
303,6
304,9
305,8
306,10
307,9
308,0
309,3
310,5
311,3
312,3
313,10
314,4
315,3
316,10
317,2
318,6
319,9
320,3
321,3
322,9
323,2
324,9
325,10
326,5
327,9
328,10
329,3
330,5
331,5
332,2
333,3
334,6
335,9
336,5
337,3
338,10
339,10
340,10
341,6
342,9
343,6
344,5
345,5
346,9
347,9
348,7
349,5
350,3
351,8
352,0
353,1
354,4
355,5
356,10
357,6
358,9
359,3
360,5
361,0
362,10
363,10
364,3
365,4
366,7
367,4
368,2
369,5
370,9
371,0
372,9
373,9
374,10
375,8
376,5
377,9
378,10
379,6
380,3
381,10
382,6
383,5
384,1
385,9
386,3
387,10
388,10
389,10
390,6
391,0
392,1
393,9
394,10
395,0
396,9
397,1
398,3
399,9
400,10
401,9
402,6
403,9
404,10
405,6
406,9
407,0
408,6
409,3
410,9
411,9
412,3
413,10
414,9
415,8
416,5
417,9
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,4
729,4
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,5
846,5
847,6
848,6
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,6
889,6
890,6
891,6
892,6
893,7
894,7
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,7
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,7
968,7
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,7
981,7
982,7
983,7
984,8
985,8
986,8
987,8
988,8
989,8
990,8
991,8
992,8
993,8
994,8
995,8
996,8
997,8
998,8
999,8
1000,8
1001,8
1002,8
1003,8
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
